Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
2.89,12.71,12.36,8.37,11.51,0,394,27,0,237,not valid frame,1,14726,30086
2.9,11.24,11.67,4.96,12.77,0,394,27,13,237,not valid frame,1,14726,30086
2.91,11.48,11.45,4.75,11.18,0,394,27,13,237,not valid frame,1,14726,30086
2.92,11.48,11.37,4.66,11.51,0,394,27,0,237,not valid frame,1,14726,30086
2.94,11.44,11.48,4.56,11.46,0,394,27,13,237,not valid frame,1,14726,30086
2.95,11.45,11.52,4.65,11.38,0,394,27,13,237,not valid frame,1,14726,30086
2.96,11.48,11.44,4.68,11.5,0,394,27,13,237,not valid frame,1,14726,30086
2.97,14.54,11.36,4.8,11.47,0,394,27,0,237,not valid frame,1,14726,30086
2.98,18.96,15.46,4.71,14.57,0,394,27,0,237,not valid frame,1,14726,30086
3,18.1,18.86,4.64,18.96,0,394,27,0,237,not valid frame,1,14726,30086
3.02,11.3,17.36,4.65,18.13,0,394,27,0,237,not valid frame,1,14726,30086
3.03,11.34,11.26,4.55,11.21,0,394,27,0,237,not valid frame,1,14726,30086
3.04,11.75,11.45,4.81,11.42,0,394,27,13,237,not valid frame,1,14726,30086
3.06,11.42,11.53,4.83,11.75,0,394,27,13,237,not valid frame,1,14726,30086
3.07,11.02,11.4,4.66,11.45,0,394,27,0,237,not valid frame,1,14726,30086
3.08,11.69,11.3,4.87,11.74,0,394,27,13,237,not valid frame,1,14726,30086
3.09,11.34,11.4,4.8,10.94,0,394,27,14,237,not valid frame,1,14726,30086
3.1,11.02,11.35,4.66,11.33,0,394,27,13,237,not valid frame,1,14726,30086
3.11,11.44,11.33,4.7,11.04,0,396,28,13,237,not valid frame,1,14726,30130
3.12,16.32,11.23,4.62,11.4,0,394,27,14,237,not valid frame,1,14726,30086
3.14,19.23,17.33,4.8,16.27,0,394,27,14,237,not valid frame,1,14726,30086
3.16,16.11,18.96,4.79,19.22,0,397,29,0,237,not valid frame,1,15126,30498
3.18,11.5,15.42,4.89,16.19,0,396,28,14,237,not valid frame,1,14726,30142
3.19,11.4,11.37,4.97,11.52,0,1789328,28,14,237,not valid frame,1,14726,396
3.2,11.04,11.46,4.74,11.36,0,1789328,28,0,237,not valid frame,1,14726,396
3.21,11.35,11.12,4.73,11.04,0,396,28,14,237,not valid frame,1,14726,30142
3.22,11.41,11.3,4.76,11.33,0,396,28,14,237,not valid frame,1,14726,30142
3.23,11.23,11.37,4.68,11.38,0,1789840,28,0,237,not valid frame,1,14726,396
3.24,17.6,11.34,4.66,11.24,0,396,28,14,237,not valid frame,1,14726,30142
3.26,19.53,18.6,5.18,17.58,0,396,28,14,237,not valid frame,1,14726,30142
3.28,15.11,19.47,4.69,19.43,0,396,28,0,237,not valid frame,1,14726,30142
3.3,11.32,14.14,4.84,15.61,0,396,28,14,237,not valid frame,1,14726,30142
3.31,11.61,11.42,4.55,10.89,0,396,28,0,237,not valid frame,1,14726,30142
3.32,11.68,11.6,4.64,11.67,0,396,28,0,237,not valid frame,1,14726,30142
3.33,11.51,11.56,4.68,11.71,0,396,28,14,237,not valid frame,1,14726,30142
3.34,11.6,11.64,4.56,11.47,0,396,28,0,237,not valid frame,1,14726,30142
3.35,11.72,11.57,4.82,11.56,0,396,28,0,237,not valid frame,1,14726,30142
3.36,19.48,12.44,4.6,11.69,0,396,28,14,237,not valid frame,1,14726,30142
