Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
2.63,9.64,9.52,5.87,9.28,0,43911466,986,0,6,1,1,60687,1402
2.64,10.7,9.46,5.95,9.63,0,43911466,957,155,6,1,1,60687,1359
2.65,9.44,10.79,6.06,9.42,0,43911466,957,156,6,1,1,60687,1359
2.66,9.6,9.48,5.89,10.79,0,43911466,987,0,6,1,1,60687,1406
2.67,9.58,9.53,6.17,9.8,0,43911466,959,154,6,1,1,60687,1360
2.68,9.72,9.58,5.92,9.23,0,43911466,987,0,6,1,1,60687,1408
2.69,9.56,9.66,6.1,9.72,0,43911466,954,0,6,1,1,60687,1365
2.7,9.56,9.54,6.08,9.6,0,43911466,985,0,6,1,1,60687,1411
2.71,9.82,9.82,5.84,9.71,0,43911466,1017,0,6,1,1,60687,1437
2.72,9.45,9.55,6.24,9.94,0,43911466,978,0,6,1,1,60687,1393
2.73,9.66,9.53,5.95,9.61,0,43911466,979,0,6,1,1,60687,1392
2.74,10.57,10.03,6.11,9.28,0,43911466,986,0,6,1,1,60687,1403
2.75,9.57,10.2,5.97,9.97,0,43911466,986,0,6,1,1,60687,1403
2.76,9.58,9.48,6.07,10.26,0,43911466,980,153,6,1,1,60687,1400
2.77,9.52,9.55,6.13,9.39,0,43911466,980,0,6,1,1,60687,1392
2.78,9.57,9.5,6.05,9.59,0,43911466,1018,153,6,1,1,60687,1458
2.79,9.58,9.54,6.28,9.85,0,43911466,982,154,6,1,1,60687,1402
2.8,9.59,9.58,6.03,9.24,0,43911466,987,0,6,1,1,60687,1416
2.81,9.75,9.73,5.92,9.6,0,43911466,984,153,6,1,1,60687,1388
2.82,9.89,9.71,5.81,9.68,0,43911466,951,0,6,1,1,60687,1359
2.83,9.65,9.69,6.31,9.97,0,43911466,983,153,6,1,1,60687,1401
2.84,9.48,9.62,6.06,9.64,0,43911466,983,0,6,1,1,60687,1401
2.84,9.68,9.49,5.84,9.54,0,43911466,953,153,6,1,1,60687,1353
2.85,9.6,9.63,6.99,10.11,0,43911466,951,0,6,1,1,60687,1356
2.86,9.57,9.54,5.99,9.45,0,43911466,1085,0,6,1,1,60687,1540
2.87,9.56,9.54,6.11,9.29,0,43911466,1019,153,6,1,1,60687,1461
2.88,9.47,9.53,5.82,9.47,0,43911466,986,0,6,1,1,60687,1406
2.89,9.69,9.52,5.91,9.59,0,43911466,958,0,6,1,1,60687,1351
2.9,9.7,9.78,6.04,9.84,0,43911466,958,153,6,1,1,60687,1360
2.91,9.45,9.48,5.91,9.45,0,43911466,958,0,6,1,1,60687,1360
2.92,9.56,9.48,5.82,9.62,0,43911466,988,0,6,1,1,60687,1406
2.93,9.56,9.5,5.93,9.4,0,43911466,962,0,6,1,1,60687,1366
2.94,9.48,9.51,6.25,9.53,0,43911466,958,153,6,1,1,60687,1359
2.95,9.51,9.53,6.17,9.59,0,43911466,995,153,6,1,1,60687,1412
2.96,9.59,9.55,5.93,9.42,0,43911466,957,153,6,1,1,60687,1354
2.97,9.49,9.55,5.99,9.95,0,43911466,954,153,6,1,1,60687,1364
2.98,9.64,9.55,6.28,9.29,0,43911466,1047,0,6,1,1,60687,5374640
2.99,10.58,9.69,6.07,9.85,0,43911466,954,0,6,1,1,60687,5375152
3,9.42,10.37,6.08,9.34,0,43911466,954,153,6,1,1,60687,5375152
3.01,9.51,9.41,5.92,10.55,0,43911466,1015,0,6,1,1,60687,1451
3.02,17.49,9.65,6.18,9.32,0,43911466,985,0,6,1,1,60687,1400
3.04,9.71,17.47,6.23,9.7,0,43911466,954,0,6,1,1,60687,1355
3.05,9.76,9.71,6.01,17.46,0,43911466,957,0,6,1,1,60687,1356
3.05,9.65,9.58,5.96,9.7,0,43911466,988,0,6,1,1,60687,1403
3.06,9.44,9.55,5.91,9.63,0,43911466,988,0,6,1,1,60687,1403
3.07,9.56,9.46,5.9,9.62,0,43911466,957,156,6,1,1,60687,1366
3.08,9.53,9.5,5.98,9.41,0,43911466,961,0,6,1,1,60687,5376176
3.09,9.57,9.49,5.98,9.62,0,43911466,992,0,6,1,1,60687,1409
3.1,9.75,9.56,5.95,9.83,0,43911466,962,0,6,1,1,60687,5376688
3.11,9.92,9.91,6.1,9.3,0,43911466,961,158,6,1,1,60687,1367
3.12,9.62,9.71,6,9.99,0,43911466,961,0,6,1,1,60687,1359
3.13,9.63,9.56,5.97,9.7,0,43911466,963,0,6,1,1,60687,1368
